google_id;name;address;locality;postcode;tel;latitude;longitude;website;category_labels
abe28ad5211a26b4a4e73ba5655e46816df63598;Subway;309 U.S. 101, Crescent City, CA 95531, United States;309 U.S. 101, Crescent City;95531;(707) 465-5853;41.7527890;-124.1870970;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;meal_takeaway,restaurant,food,establishment
edcc3a967bfa5feda71c47fe1c65477c226c5697;Subway;850 U.S. 101, Crescent City, CA 95531-2309, United States;850 U.S. 101, Crescent City;95531-2309;(707) 464-2166;41.7643530;-124.1969190;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;meal_takeaway,restaurant,food,establishment
dd4a42e3405369b79422e0240ed40ef5f7b31236;McDonald's;380 M St, Crescent City, CA 95531, United States;380 M St, Crescent City;95531;(707) 464-1913;41.7553020;-124.1935510;http://www.mcdonalds.com/;restaurant,food,establishment
6222b9a84723bb0471c2072095c1babbd595f57b;Subway;900 E Washington Blvd, Crescent City, CA 95531, United States;900 E Washington Blvd, Crescent City;95531;(707) 464-1210;41.7749140;-124.1899820;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;restaurant,food,establishment
27ce06ada46bde877bbd5f91a7772d6309110bf3;Subway;1834 Fort Jones Rd, Yreka, CA 96097, United States;1834 Fort Jones Rd, Yreka;96097;(530) 842-9620;41.7009990;-122.6440490;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
b4819a1f544d6f9dfee433f1df24827c127b98d1;McDonald's;1806 Fort Jones Rd, Yreka, CA 96097, United States;1806 Fort Jones Rd, Yreka;96097;(530) 842-5179;41.7026570;-122.6448900;http://www.mcdonalds.com/;restaurant,food,establishment
ec6156bc3c517b3bf1e825fbe087a88de7523b56;Subway;1906 Fort Jones Rd, Yreka, CA 96097, United States;1906 Fort Jones Rd, Yreka;96097;(530) 842-7950;41.6986910;-122.6447600;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;meal_takeaway,restaurant,food,establishment
3ef5717cb302aa0d8e299b363ae9c3f3f7655634;SUBWAY® Restaurants (C-Store / Gas Station);118 E Miner St, Yreka, CA 90967, United States;118 E Miner St, Yreka;90967;(916) 643-8032;41.7310660;-122.6348060;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;restaurant,food,establishment
302c2f43e45c5e77a49e09ce6cf11ee26d5ead6e;McDonald's;1925 Shastina Dr, Weed, CA 96094, United States;1925 Shastina Dr, Weed;96094;(530) 938-2806;41.3976010;-122.3795830;http://www.mcdonalds.com/;restaurant,food,establishment
ff1a1a33234ed2b63f177601a3e740be4225d45e;Subway;86 N Weed Blvd, Weed, CA 96094, United States;86 N Weed Blvd, Weed;96094;(530) 938-1492;41.4222130;-122.3869780;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;meal_takeaway,restaurant,food,establishment
2b36943baebedd1b9a761014ec73f46a6f1eeb5a;Subway;15 Vista Dr, Weed, CA 96094, United States;15 Vista Dr, Weed;96094;(530) 938-9750;41.3964680;-122.3799860;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;restaurant,food,establishment
20704142a50faa2776c0187b704ac1ffd991b1ab;Ralphs Ranches;Macdoel, CA 96058, United States;Macdoel;96058;(530) 336-6667;41.8268150;-122.0052850;;food,establishment
c7f2fc2d1e33f21569ac36aad0d407d423ef26d5;Subway;100 W 12th St, Alturas, CA 96101, United States;100 W 12th St, Alturas;96101;(530) 233-4468;41.4948290;-120.5431620;https://www.subway.com/;meal_takeaway,restaurant,food,establishment
de8a3fd4016754ed89b768f298a742cbbb99cf49;Subway;1731 G St, Arcata, CA 95521, United States;1731 G St, Arcata;95521;(707) 822-0155;40.8753690;-124.0837230;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
628cea31e1d17af5b60f7eef05801fe9d590d621;Subway;5000 Valley W Blvd #2, Arcata, CA 95521, United States;5000 Valley W Blvd #2, Arcata;95521;(707) 825-1135;40.9041580;-124.0816500;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
2739bd1a7003e33482d641cf7beabc32e12a8ae8;Subway;1906 4th St, Eureka, CA 95501, United States;1906 4th St, Eureka;95501;(707) 441-1868;40.8045800;-124.1513330;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
7f29769d35c83a702d88849b75f7b206a362ea30;McDonald's;4901 Valley W Blvd, Arcata, CA 95521, United States;4901 Valley W Blvd, Arcata;95521;(707) 822-0888;40.9027820;-124.0839410;http://www.mcdonalds.com/;restaurant,food,establishment
e0a9131c66092297a103cc2ab1e4eba9a05ffe09;Subway;1651 Myrtle Ave, Eureka, CA 95501, United States;1651 Myrtle Ave, Eureka;95501;(707) 443-0448;40.7945510;-124.1358140;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
13b23b864a3058c1c0c0576484a4dd647f933cf0;Subway;3300 Broadway St, Eureka, CA 95501, United States;3300 Broadway St, Eureka;95501;(707) 442-7827;40.7788760;-124.1906660;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
7078177b69e8e373e5aa4b984d31273fc7f31002;McDonald's;1730 4th St, Eureka, CA 95501, United States;1730 4th St, Eureka;95501;(707) 442-8821;40.8044600;-124.1527690;http://www.mcdonalds.com/;restaurant,food,establishment
08b01424c893e4d98a8976238832b1cf7dc29eca;Subway;1111 Myrtle Ave #4, Eureka, CA 95501, United States;1111 Myrtle Ave #4, Eureka;95501;(707) 476-8954;40.7998400;-124.1469500;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
a7e34e736ead215cc6cf9856c9ab287d74d25bd7;Subway;1565 City Center Rd, McKinleyville, CA 95519, United States;1565 City Center Rd, McKinleyville;95519;(707) 840-9811;40.9439180;-124.1013890;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;store,meal_takeaway,restaurant,food,establishment
8613497b12bb48f7fb6a6fa80b64b90046c8536c;Subway;800 W Harris St, Eureka, CA 95503, United States;800 W Harris St, Eureka;95503;(707) 269-0788;40.7820630;-124.1799600;http://www.subway.com/subwayroot/default.aspx?rdr=Banners:GooglePlaces:SubwayCom;meal_takeaway,restaurant,food,establishment
cc102d9f14d3680aa1617e48bc7fee3a2873e434;McDonald's;3450 Broadway St, Eureka, CA 95503, United States;3450 Broadway St, Eureka;95503;(707) 442-5981;40.7764300;-124.1907010;http://www.mcdonalds.com/;restaurant,food,establishment
0bec102c2f2683e715a5710e8578a2aac9d34294;GameStop;3300 Broadway St #424, Eureka, CA 95501, United States;3300 Broadway St #424, Eureka;95501;(707) 442-1798;40.7800540;-124.1899300;http://www.gamestop.com/;store,establishment
29564567a5cd1b3f975eb9274a51a5cc0ee15476;McDonald's;1500 Anna Sparks Way, McKinleyville, CA 95519, United States;1500 Anna Sparks Way, McKinleyville;95519;(707) 839-8927;40.9325300;-124.1013110;http://www.mccalifornia.com/13762;restaurant,food,establishment
